id,question,short_name,label_0,label_100,stimulus,video_length,vehicle_type,description,speed,comments,partner_video
10,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_10.mp4,10000,AV,Basic traffic,30,Safe to change lane to the left lane,video_0
11,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_11.mp4,10000,AV,Car approaching in the left lane,30,Safe to change lane to the left lane,video_1
12,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_12.mp4,10000,AV,Car approaching in the left lane,30,Debatable if it is safe to change lane to the left lane,video_2
13,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_13.mp4,10000,AV,Basic traffic,30,Safe to change lane to the left lane,video_3
14,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_14.mp4,10000,AV,Car behind is tailgating,30,Safe to change lane to the left lane,video_4
15,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_15.mp4,10000,AV,Cars in front break abruptly,30,Safe to change lane to the left lane,video_5
16,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_16.mp4,10000,AV,Car overtakes from the right,30,Safe to change lane to the left lane,video_6
17,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_17.mp4,10000,AV,Car overtakes from the right,30,Debatable if it is safe to change lane to the left lane,video_7
18,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_18.mp4,10000,AV,Car approaching in the left lane,60,Debatable if it is safe to change lane to the left lane,video_8
19,At the end of the scenario the fully automated car changes to the left lane. How <strong>certain</strong> would you feel?,ad_certain,Absolutely not certain,Absolutely certain,/videos/video_19.mp4,10000,AV,Car overtaking in the left lane,30,Not safe to change lane to the left lane,video_9
20,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_0.mp4,10000,MDV,Basic traffic,30,Safe to change lane to the left lane,video_10
21,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_1.mp4,10000,MDV,Car approaching in the left lane,30,Safe to change lane to the left lane,video_11
22,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_2.mp4,10000,MDV,Car approaching in the left lane,30,Debatable if it is safe to change lane to the left lane,video_12
23,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_3.mp4,10000,MDV,Basic traffic,30,Safe to change lane to the left lane,video_13
24,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_4.mp4,10000,MDV,Car behind is tailgating,30,Safe to change lane to the left lane,video_14
25,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_5.mp4,10000,MDV,Cars in front break abruptly,30,Safe to change lane to the left lane,video_15
26,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_6.mp4,10000,MDV,Car overtakes from the right,30,Safe to change lane to the left lane,video_16
27,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_7.mp4,10000,MDV,Car overtakes from the right,30,Debatable if it is safe to change lane to the left lane,video_17
28,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_8.mp4,10000,MDV,Car approaching in the left lane,60,Debatable if it is safe to change lane to the left lane,video_18
29,At the end of the scenario the driver of your car changes to the left lane. How <strong>uncertain</strong> would you feel?,driver_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_9.mp4,10000,MDV,Car overtaking in the left lane,30,Not safe to change lane to the left lane,video_19
30,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_10.mp4,10000,AV,Basic traffic,30,Safe to change lane to the left lane,video_0
31,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_11.mp4,10000,AV,Car approaching in the left lane,30,Safe to change lane to the left lane,video_1
32,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_12.mp4,10000,AV,Car approaching in the left lane,30,Debatable if it is safe to change lane to the left lane,video_2
33,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_13.mp4,10000,AV,Basic traffic,30,Safe to change lane to the left lane,video_3
34,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_14.mp4,10000,AV,Car behind is tailgating,30,Safe to change lane to the left lane,video_4
35,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_15.mp4,10000,AV,Cars in front break abruptly,30,Safe to change lane to the left lane,video_5
36,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_16.mp4,10000,AV,Car overtakes from the right,30,Safe to change lane to the left lane,video_6
37,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_17.mp4,10000,AV,Car overtakes from the right,30,Debatable if it is safe to change lane to the left lane,video_7
38,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_18.mp4,10000,AV,Car approaching in the left lane,60,Debatable if it is safe to change lane to the left lane,video_8
39,At the end of the scenario the fully automated car changes to the left lane. How <strong>uncertain</strong> would you feel?,ad_uncertain,Absolutely not uncertain,Absolutely uncertain,/videos/video_19.mp4,10000,AV,Car overtaking in the left lane,30,Not safe to change lane to the left lane,video_9
